DATE,TEAM,OPPONENT,NAME,POSITION,MINUTES,POINTS,REBOUNDS,ASSISTS,PTS+REB+AST,STEALS,BLOCKS,TURNOVERS,FOULS,FGM,FGA,3PM,3PA,FTM,FTA,OREB,DREB,FANTASY,STARTER?,HOME?,WIN?,game_id
04/14/24,DEN,MEM,Kentavious Caldwell-Pope,SG,24,11,4,3,18,0,1,2,1,5,6,1,2,0,1,0,4,21.3,False,False,True,mem20240414
04/14/24,DEN,MEM,Michael Porter,SF,24,12,5,4,21,0,2,2,0,5,12,2,8,0,0,0,5,28.0,False,False,True,mem20240414
04/14/24,DEN,MEM,Jamal Murray,PG,24,21,6,4,31,0,1,2,1,7,14,3,7,4,4,2,4,35.2,False,False,True,mem20240414
04/14/24,DEN,MEM,Reggie Jackson,PG,23,11,0,2,13,0,0,2,3,3,9,2,6,3,3,0,0,12.0,False,False,True,mem20240414
04/14/24,DEN,MEM,Peyton Watson,SF,20,11,2,1,14,1,0,1,3,5,7,1,1,0,0,1,1,16.9,False,False,True,mem20240414
04/14/24,DEN,MEM,Justin Holiday,SG,19,3,1,3,7,1,0,1,1,1,5,1,5,0,0,0,1,10.7,False,False,True,mem20240414
04/14/24,DEN,MEM,Zeke Nnaji,PF,17,6,4,0,10,1,0,0,3,3,5,0,0,0,0,1,3,13.8,False,False,True,mem20240414
04/14/24,DEN,MEM,Julian Strawther,SF,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-1.0,False,False,True,mem20240414
04/14/24,DEN,MEM,Braxton Key,SF,1,2,2,0,4,0,0,0,0,0,0,0,0,2,2,0,2,4.4,False,False,True,mem20240414
04/14/24,DEN,MEM,Hunter Tyson,PF,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,False,False,True,mem20240414
04/14/24,MIA,TOR,Jaime Jaquez,SF,32,18,4,5,27,1,2,1,1,6,12,0,4,6,7,0,4,38.3,False,True,True,mia20240414
04/14/24,MIA,TOR,Tyler Herro,PG,29,17,6,8,31,1,0,6,1,5,11,2,5,5,5,0,6,33.2,False,True,True,mia20240414
04/14/24,MIA,TOR,Delon Wright,PG,28,11,3,4,18,4,1,1,1,4,7,3,5,0,0,1,2,34.6,False,True,True,mia20240414
04/14/24,MIA,TOR,Haywood Highsmith,PF,24,5,3,1,9,1,0,2,3,2,5,1,4,0,0,1,2,11.1,False,True,True,mia20240414
04/14/24,MIA,TOR,Jimmy Butler,SF,24,15,5,4,24,0,0,1,1,6,9,0,0,3,4,3,2,26.0,False,True,True,mia20240414
04/14/24,MIA,TOR,Thomas Bryant,C,23,18,10,1,29,0,1,2,1,8,10,0,1,2,2,3,7,32.5,False,True,True,mia20240414
04/14/24,MIA,TOR,Caleb Martin,SG,23,12,5,2,19,1,1,1,1,5,12,2,6,0,0,2,3,26.0,False,True,True,mia20240414
04/14/24,MIA,TOR,Bam Adebayo,C,19,17,6,2,25,3,1,4,1,8,10,0,1,1,1,3,3,35.2,False,True,True,mia20240414
04/14/24,MIA,TOR,Nikola Jovic,PF,15,3,3,1,7,2,0,0,2,1,4,1,4,0,0,0,3,14.1,False,True,True,mia20240414
04/14/24,MIA,TOR,Patty Mills,PG,7,0,1,1,2,0,0,0,0,0,3,0,3,0,0,0,1,2.7,False,True,True,mia20240414
04/14/24,MIA,TOR,Kevin Love,PF,3,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0.0,False,True,True,mia20240414
04/14/24,MIA,TOR,Jamal Cain,PF,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,False,True,True,mia20240414
04/14/24,MIA,TOR,Alondes Williams,SG,1,2,0,0,2,0,1,1,1,1,2,0,1,0,0,0,0,4.0,False,True,True,mia20240414
04/14/24,MIA,TOR,Cole Swider,SF,1,0,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0,0.0,False,True,True,mia20240414
04/14/24,MIA,TOR,Orlando Robinson,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,False,True,True,mia20240414
04/14/24,TOR,MIA,Ochai Agbaji,PF,32,10,6,2,18,2,1,4,3,4,11,0,3,2,3,4,2,25.2,False,False,False,mia20240414
04/14/24,TOR,MIA,Javon Freeman-Liberty,PG,32,8,1,7,16,0,2,3,1,3,6,0,2,2,2,1,0,22.7,False,False,False,mia20240414
04/14/24,TOR,MIA,Gradey Dick,SF,29,14,2,1,17,2,0,2,1,5,13,1,5,3,4,0,2,21.9,False,False,False,mia20240414
04/14/24,TOR,MIA,Garrett Temple,SG,24,9,3,7,19,0,0,1,3,1,8,1,5,6,6,2,1,22.1,False,False,False,mia20240414
04/14/24,TOR,MIA,Gary Trent,SG,23,18,4,1,23,0,0,0,1,6,14,3,8,3,3,1,3,24.3,False,False,False,mia20240414
04/14/24,TOR,MIA,Jalen McDaniels,SF,23,7,2,2,11,1,0,2,3,2,7,1,2,2,2,0,2,13.4,False,False,False,mia20240414
04/14/24,TOR,MIA,Kelly Olynyk,C,22,11,8,2,21,1,0,4,4,5,9,1,3,0,0,1,7,22.6,False,False,False,mia20240414
04/14/24,TOR,MIA,Bruce Brown,SG,20,6,0,0,6,0,0,1,2,3,5,0,1,0,1,0,0,5.0,False,False,False,mia20240414
04/14/24,TOR,MIA,Jordan Nwora,SF,20,14,11,1,26,0,0,2,1,6,10,2,4,0,0,2,9,26.7,False,False,False,mia20240414
04/14/24,TOR,MIA,Malik Williams,,11,6,4,0,10,0,0,0,2,3,7,0,1,0,0,2,2,10.8,False,False,False,mia20240414
04/14/24,MIN,PHO,Anthony Edwards,SG,35,13,6,4,23,1,1,5,3,3,7,0,2,7,8,1,5,27.2,False,True,False,min20240414
04/14/24,MIN,PHO,Rudy Gobert,C,32,21,7,1,29,2,1,1,3,7,9,0,0,7,9,3,4,38.9,False,True,False,min20240414
04/14/24,MIN,PHO,Karl-Anthony Towns,PF,29,10,6,2,18,0,0,5,4,3,8,1,4,3,4,2,4,15.2,False,True,False,min20240414
04/14/24,MIN,PHO,Mike Conley,PG,27,17,4,2,23,1,2,3,1,5,7,4,5,3,3,1,3,30.8,False,True,False,min20240414
04/14/24,MIN,PHO,Jaden McDaniels,SF,27,6,0,1,7,0,0,3,1,2,7,1,4,1,2,0,0,4.5,False,True,False,min20240414
04/14/24,MIN,PHO,Naz Reid,C,20,10,4,1,15,1,0,4,4,4,8,2,5,0,0,0,4,15.3,False,True,False,min20240414
04/14/24,MIN,PHO,Nickeil Alexander-Walker,SG,17,3,0,2,5,1,0,0,0,1,4,1,3,0,0,0,0,9.0,False,True,False,min20240414
04/14/24,MIN,PHO,Kyle Anderson,PF,17,4,1,4,9,1,0,1,2,2,5,0,0,0,0,0,1,13.2,False,True,False,min20240414
04/14/24,MIN,PHO,Jordan McLaughlin,PG,8,5,0,0,5,0,0,1,1,2,2,0,0,1,2,0,0,4.0,False,True,False,min20240414
04/14/24,MIN,PHO,Monte Morris,PG,6,0,0,4,4,0,1,0,0,0,3,0,2,0,0,0,0,9.0,False,True,False,min20240414
04/14/24,MIN,PHO,Leonard Miller,SF,4,2,3,0,5,0,0,0,0,1,3,0,1,0,0,2,1,5.6,False,True,False,min20240414
04/14/24,MIN,PHO,Wendell Moore,SG,4,4,2,0,6,0,0,1,1,2,2,0,0,0,0,0,2,5.4,False,True,False,min20240414
04/14/24,MIN,PHO,Luka Garza,C,4,9,3,0,12,0,0,0,0,3,3,0,0,3,3,3,0,12.6,False,True,False,min20240414
04/14/24,MIN,PHO,Josh Minott,SF,4,2,0,1,3,0,0,0,0,1,2,0,0,0,0,0,0,3.5,False,True,False,min20240414
04/14/24,PHO,MIN,Bradley Beal,SG,37,36,6,5,47,2,1,1,2,14,21,6,6,2,2,3,3,58.7,False,False,True,min20240414
04/14/24,PHO,MIN,Kevin Durant,PF,37,15,4,1,20,2,1,4,3,6,14,1,3,2,2,2,2,26.3,False,False,True,min20240414
04/14/24,PHO,MIN,Devin Booker,PG,35,23,4,7,34,1,0,1,3,6,16,3,8,8,10,2,2,40.3,False,False,True,min20240414
04/14/24,PHO,MIN,Grayson Allen,SF,32,20,6,1,27,2,0,0,1,8,11,3,3,1,1,1,5,34.7,False,False,True,min20240414
04/14/24,PHO,MIN,Royce O'Neale,SF,23,4,2,3,9,0,0,1,3,1,4,1,3,1,2,0,2,9.9,False,False,True,min20240414
04/14/24,PHO,MIN,Jusuf Nurkic,C,20,6,5,8,19,5,1,1,4,3,4,0,1,0,0,2,3,41.0,False,False,True,min20240414
